What,0,1,2,3,4,5,6,7,8,9,Date,Hour
Guardian Oz most viewed,Live  Coronavirus live news: WHO cautions against relaxing restrictions; Australian state of Victoria begins lockdown,"Trump impeachment: defense wraps up, claiming free speech is at stake –as it happened",Coalition's brazen 'within the rules' defence doesn't pass the pub test,'I am deeply sorry': Justin Timberlake apologises to Britney Spears and Janet Jackson,Coronavirus Victoria: Covid stage 4 lockdown rules and Vic restrictions explained,'Too good to be true': the deal with an Isis-linked Australian family that betrayed PNG's most marginalised,Victoria Covid hotspots: list of Melbourne and regional Vic coronavirus case locations,Daniel Andrews flags shutting out stranded Australians except for 'compassionate cases',Priti Patel hits out at 'dreadful' Black Lives Matter protests,KPMG's Bill Michael resigns after telling staff to 'stop moaning',2021-02-13,14
Guardian Oz most viewed,Live  Coronavirus live news: WHO cautions against relaxing restrictions; Australian state of Victoria begins lockdown,Coalition's brazen 'within the rules' defence doesn't pass the pub test,'I am deeply sorry': Justin Timberlake apologises to Britney Spears and Janet Jackson,Coronavirus Victoria: Covid stage 4 lockdown rules and Vic restrictions explained,Impeachment trial: defense lawyers argue Trump is victim of 'cancel culture',Australian officials hunt crocodile after human remains found near missing fisherman's boat,'Too good to be true': the deal with an Isis-linked Australian family that betrayed PNG's most marginalised,Victoria Covid hotspots: list of Melbourne and regional Vic coronavirus case locations,Daniel Andrews flags shutting out stranded Australians except for 'compassionate cases',Patient diagnosed with Covid-19 dies in New Zealand hospital,2021-02-13,15
Guardian Oz most viewed,Live  Coronavirus live news: WHO cautions against relaxing restrictions; Australian state of Victoria begins lockdown,Coalition's brazen 'within the rules' defence doesn't pass the pub test,'I am deeply sorry': Justin Timberlake apologises to Britney Spears and Janet Jackson,Coronavirus Victoria: Covid stage 4 lockdown rules and Vic restrictions explained,Impeachment trial: defense lawyers argue Trump is victim of 'cancel culture',Patient diagnosed with Covid-19 dies in New Zealand hospital,Australian officials hunt crocodile after human remains found near missing fisherman's boat,Victoria Covid hotspots: list of Melbourne and regional Vic coronavirus case locations,King croc of Port Douglas dies after crab pot encounter,Daniel Andrews flags shutting out stranded Australians except for 'compassionate cases',2021-02-13,16
