station,longitude,latitude,measurementhour,measurementdate,Particle PM10,Particle PM2.5,Visibility,Sulfur dioxide,Nitrogen dioxide,Ozone,Carbon monoxide,Particles TSP
Emerald,148.165,-23.5208,10,2021-02-13,28.6,18.8,,,,,,
Bluff,149.074,-23.582,10,2021-02-13,30,,,,,,,
Blackwater,148.881,-23.5627,10,2021-02-13,25.2,15.6,,,,,,
Moranbah (Cunningham Way),148.042,-22.0112,10,2021-02-13,31.6,18.4,,,,,,
West Mackay,149.155,-21.1595,10,2021-02-13,28,17.2,3,,,,,
Moranbah (Utah Dr),148.071,-21.9995,10,2021-02-13,30.2,18,,,,,,
Clinton,151.222,-23.8701,10,2021-02-13,25.6,16.8,3.4,2,5,,,
Fisherman's Landing,151.16,-23.7937,10,2021-02-13,36.6,2,3.8,0,0,,,
Memorial Park,151.252,-23.8443,10,2021-02-13,,,,0.5,0.8,17,,
South Gladstone,151.27,-23.8626,10,2021-02-13,21.8,12,2.6,0,1.7,,,
Boyne Island,151.351,-23.9408,10,2021-02-13,20.8,14,3.8,0.5,0,,0,
Auckland Point,151.254,-23.8351,10,2021-02-13,28.2,,,,,,,
Boat Creek,151.154,-23.8199,10,2021-02-13,23.6,16,3.8,0,0,,,
Targinie,151.105,-23.7744,10,2021-02-13,23,15.6,3,0.5,0,,,
The Gap,139.498,-20.7264,10,2021-02-13,19.8,,,0,,,,
Wynnum West,153.15,-27.4379,10,2021-02-13,16.4,6.8,,1.5,,,,
North Maclean,153.03,-27.7708,10,2021-02-13,,,,,0.8,27,,
Flinders View,152.774,-27.6528,10,2021-02-13,27.4,,3,0,0.8,15,,
Rocklea,152.993,-27.5358,10,2021-02-13,18.8,12.4,3.4,,0.8,21,,
Southport,153.402,-27.9612,10,2021-02-13,19.4,10.8,,,1.7,22,,
Mutdapilly,152.651,-27.7528,10,2021-02-13,,,,,1.7,20,,
Springwood,153.136,-27.6125,10,2021-02-13,20.6,16.4,,0,0.8,21,,
South Brisbane,153.032,-27.4848,10,2021-02-13,31.8,21.6,,,5.8,,0,
Woolloongabba,153.035,-27.4975,10,2021-02-13,35,18.8,,,8.3,,0,
Wynnum,153.158,-27.4296,10,2021-02-13,21.2,8.4,,0,1.7,,,
Deception Bay,153.035,-27.1935,10,2021-02-13,,,,,0,21,,
Brisbane CBD,153.028,-27.4774,10,2021-02-13,26.2,18.8,2.1,,,,,
Cannon Hill,153.087,-27.4654,10,2021-02-13,20.8,10.4,,,0,22,,22.9
Lytton,153.153,-27.4065,10,2021-02-13,13.6,7.6,,-4999500,,,,
Mountain Creek,153.104,-26.6917,10,2021-02-13,24,15.6,3,,0.8,19,,
Hopeland,0,0,10,2021-02-13,18.6,13.2,,,0,26,2.2,18.5
Miles Airport,0,0,10,2021-02-13,20,16.8,,,0,27,2.2,19
Upper Humbug,150.4,-27.0908,10,2021-02-13,29,20.8,,,0,26,2.2,28
Lennon Drive,146.826,-19.2589,10,2021-02-13,24.8,,,,,,,23
Coastguard,146.827,-19.2526,10,2021-02-13,34.4,,,,,,,29.5
Environment Park,146.831,-19.2629,10,2021-02-13,26,,,,,,,
North Ward,146.807,-19.2509,10,2021-02-13,29.6,20.4,-4254.9,-4999500,-8332500,,,
